Keyword,Global Monthly Searches,Estimated Avg. CPC (GBP),Estimated Ad Position,Estimated Daily Clicks,Estimated Daily Cost (GBP),Local Monthly Searches
secure online back up,2900,0.00,0,0,0.00,1000
agile management software,2900,2.45,1,4.92,12.07,1600
crm for financial,4400,0.00,0,0,0.00,2400
disaster recovery planning for it,40500,0.00,0,0,0.00,18100
tracking a vehicle,135000,0.00,0,0,0.00,49500
applications in the cloud,49500,0.35,1,2.12,0.74,18100
project management with scrum,8100,0.00,0,0,0.00,2400
servers for businesses,5400,0.00,0,0,0.00,2900
android application developers,9900,4.98,1,5.44,27.05,3600
android app developers,6600,4.24,1,59.39,251.63,2900
training for indesign,14800,0.00,0,0,0.00,4400
teach yourself web development,91,0.00,0,0,0.00,36
web applications developers,2900,0.00,0,0,0.00,880
android application developer,40500,2.22,1,43.7,96.95,9900
android app developer,12100,1.64,1,116.12,190.06,4400
app developer android,12100,0.84,1,6.59,5.53,4400
android developer app,12100,0.00,0,0,0.00,4400
mobile applications developers,8100,1.36,1,4.32,5.88,2900
design for programmers,40500,0.00,0,0,0.00,14800
cloud computing for dummies,8100,0.00,0,0,0.00,3600
android application development uk,210,0.00,0,0,0.00,-
web design and marketing solutions for business websites,91,0.00,0,0,0.00,28
developers mobile applications,8100,0.00,0,0,0.00,2900
training indesign,14800,0.00,0,0,0.00,4400
apps development,246000,2.40,1,18.87,45.36,90500
computing for dummies,9900,0.00,0,0,0.00,4400
bpp learning management system,140,0.00,0,0,0.00,-
mobile apps developers,1600,0.00,0,0,0.00,590
joomla designers,8100,1.12,1,3.97,4.46,2400
best pay as you go sim card,720,0.00,0,0,0.00,36
locks and locksmithing,18100,0.00,0,0,0.00,9900
development of mobile,201000,0.00,0,0,0.00,60500
android app development software,1000,0.00,0,0,0.00,480
best pay as you go sims,480,0.00,0,0,0.00,0
cheap pay as you go sim,1900,0.00,0,0,0.00,36
app development for android,49500,2.67,1,4.79,12.76,22200
best pay as you go sim,5400,0.00,0,0,0.00,91
android development app,49500,0.50,1,2.67,1.35,22200
android apps development,40500,0.87,1,66.86,58.05,14800
android development apps,40500,0.00,0,0,0.00,14800
team building companies uk,58,0.00,0,0,0.00,-
mobile design and development,6600,0.00,0,0,0.00,1900
pay as you go sim card only,210,0.00,0,0,0.00,12
training for mcse,22200,0.00,0,0,0.00,6600
ink 8560,4400,0.00,0,0,0.00,2400
sim card only pay as you go,210,0.00,0,0,0.00,12
micro stock photo sites,73,0.00,0,0,0.00,36
pay as you go sim offers,5400,0.00,0,0,0.00,28
sim card deals pay as you go,880,0.00,0,0,0.00,12
cheap mobile sim card,480,0.00,0,0,0.00,110
itil v3 foundations certification,5400,0.00,0,0,0.00,1600
make money with stock photography,720,0.00,0,0,0.00,390
uk stock photography,1300,0.00,0,0,0.00,170
options for investment,49500,0.00,0,0,0.00,18100
android developer apps,5400,6.13,1,16.21,99.30,1600
make money stock photography,720,0.00,0,0,0.00,390
photographers stock,3600,0.00,0,0,0.00,1900
cards games for kids,8100,0.00,0,0,0.00,2900
contracts in a nutshell,320,0.00,0,0,0.00,140
google android application development,1600,2.50,1,5.95,14.89,480
deal or no deal interactive,880,0.00,0,0,0.00,320
stock photographers,3600,40.50,1,9.67,391.74,1900
computing for idiots,170,0.00,0,0,0.00,28
make money stock photos,1000,0.00,0,0,0.00,480
google android apps development,480,0.00,0,0,0.00,170
mobile sim card uk,1000,0.00,0,0,0.00,170
sim card for uk,18100,0.00,0,0,0.00,2900
play no deal or deal,27100,0.00,0,0,0.00,12100
realtime tracking device,1900,0.00,0,0,0.00,1300
small company websites,2400,0.00,0,0,0.00,1600
team building activities uk,320,0.00,0,0,0.00,46
pay as you go sim uk,2900,0.00,0,0,0.00,170
the glaze book,1600,0.00,0,0,0.00,480
training in sql,74000,4.30,1,4.62,19.89,27100
android application development tools,2400,0.00,0,0,0.00,880
uk mobile sim card,1000,0.00,0,0,0.00,170
buy uk sim card,880,1.66,1,4.36,7.23,170
c5650 toner,1900,0.00,0,0,0.00,73
database driven web page,2400,0.00,0,0,0.00,1000
cost of sim card,12100,0.00,0,0,0.00,4400
database driven web,5400,0.00,0,0,0.00,1900
microsoft access 2010 training,1000,0.00,0,0,0.00,590
3g broadband router,6600,0.00,0,0,0.00,1300
sim card in uk,18100,0.00,0,0,0.00,2900
cheap ink cartridges brother,590,0.00,0,0,0.00,320
google android app development,590,0.00,0,0,0.00,260
stock photography books,590,0.00,0,0,0.00,260
google android app developer,390,0.00,0,0,0.00,170
pre pay sim,5400,0.00,0,0,0.00,1600
pre pay sim card,2400,0.00,0,0,0.00,1300
international mobile broadband pay as you go,46,0.00,0,0,0.00,0
learning sql server 2008,1900,0.00,0,0,0.00,390
cheap ink for brother printer,390,0.00,0,0,0.00,170
buy pay as you go sim card,390,0.00,0,0,0.00,58
pay as you go sim card,22200,6.09,1,5.82,35.49,2900
pay as go sim,90500,0.00,0,0,0.00,5400
solar power and home,110000,0.00,0,0,0.00,60500
developing mobile application,8100,0.98,1,9.02,8.81,2400
sim card pay,33100,0.00,0,0,0.00,4400
solar for your home,27100,0.00,0,0,0.00,14800
notebook laptops,11100000,2.02,1,4.69,9.47,1830000
notebooks and laptops,9140000,0.00,0,0,0.00,1830000
notebooks & laptops,9140000,0.00,0,0,0.00,1830000
notebooks and laptop,7480000,0.00,0,0,0.00,2240000
mobile phones mobile phone,7480000,0.00,0,0,0.00,2740000
laptop or notebook,7480000,0.00,0,0,0.00,1830000
laptop and notebook,7480000,0.00,0,0,0.00,1830000
is a notebook a laptop,7480000,0.00,0,0,0.00,1830000
tv or lcd,6120000,0.00,0,0,0.00,1220000
dress prom dress,4090000,0.00,0,0,0.00,2740000
digital cameras digital cameras,4090000,0.00,0,0,0.00,1220000
dress prom dresses,3350000,0.00,0,0,0.00,2240000
digital camera digital cameras,3350000,0.00,0,0,0.00,1220000
and the wardrobe,3350000,0.00,0,0,0.00,1000000
dual sim dual,3350000,0.00,0,0,0.00,60500
canon powershot,2240000,0.51,1,576.58,296.68,673000
canon canon powershot,2240000,0.00,0,0,0.00,673000
of the vanities,2240000,0.00,0,0,0.00,1500000
lumix by panasonic,2240000,0.00,0,0,0.00,368000
camera with camcorder,1830000,0.00,0,0,0.00,673000
best phones,1830000,0.71,1,16.54,11.71,823000
kinect for xbox,1500000,0.10,1,2.01,0.21,550000
canon canon camera,1830000,0.00,0,0,0.00,673000
g shock g,1830000,0.00,0,0,0.00,550000
canon pixma,1830000,0.59,1,113.93,66.68,246000
panasonic dmc,1830000,1.28,1,76.86,98.36,246000
tv 32 in,1830000,0.00,0,0,0.00,301000
coolpix nikon,1830000,0.00,0,0,0.00,450000
nikon coolpix,1830000,1.13,1,524.03,590.64,450000
lumix dmc,1500000,0.00,0,0,0.00,201000
ixus i,1500000,0.00,0,0,0.00,40500
ink for cartridges,1500000,1.53,1,3.97,6.07,673000
ink cartridges for,1500000,0.45,1,4.04,1.80,673000
ink cartridges,1500000,3.78,1,465.06,"1,756.58",673000
hidden object,1500000,0.74,1,349.89,259.66,450000
cartridge and ink,1500000,0.00,0,0,0.00,673000
ink for cartridge,1500000,0.00,0,0,0.00,673000
ink & cartridge,1500000,0.00,0,0,0.00,673000
dr martens,1220000,0.60,1,776.38,465.14,368000
camcorders with camera,1220000,0.00,0,0,0.00,673000
camera and camcorders,1220000,0.00,0,0,0.00,673000
ink for print,1220000,0.00,0,0,0.00,673000
and mens clothing,1220000,0.00,0,0,0.00,673000
samsung phones,1220000,1.04,1,2352.08,"2,441.38",301000
fujifilm finepix,1220000,0.68,1,38.8,26.21,165000
finepix fujifilm,1220000,0.00,0,0,0.00,165000
canon with lens,1220000,0.00,0,0,0.00,550000
canon lens lens,1220000,0.00,0,0,0.00,550000
hdmi cable hdmi,1220000,0.00,0,0,0.00,550000
a movie camera,1220000,0.00,0,0,0.00,450000
the movie camera,1220000,0.00,0,0,0.00,450000
toner and cartridges,1220000,0.00,0,0,0.00,550000
razors shavers,1220000,0.33,1,4.25,1.40,550000
the canon 5d,1220000,0.00,0,0,0.00,301000
shavers razors,1220000,0.00,0,0,0.00,550000
canon 5d,1220000,0.51,1,151.87,77.02,301000
dmc panasonic lumix,1220000,0.00,0,0,0.00,165000
the nikon d90,1000000,0.00,0,0,0.00,165000
clothing for cheap,1220000,1.31,1,117.36,153.36,673000
i station docking station,1000000,0.00,0,0,0.00,368000
pc notebook,1000000,1.72,1,77.16,132.41,246000
a wrinkle in,1000000,0.00,0,0,0.00,550000
ink cartridges toner cartridges,1000000,0.00,0,0,0.00,450000
canon is cameras,1220000,0.00,0,0,0.00,450000
canon cameras,1220000,4.15,1,716.7,"2,974.94",450000
photos stock,1000000,4.62,1,361.34,"1,670.71",368000
nikon camera,1000000,2.05,1,237.75,487.78,368000
phones and prices,1000000,0.00,0,0,0.00,60500
dvd to dvd recorder,1000000,0.26,1,3.27,0.86,246000
toner print cartridge,1000000,0.00,0,0,0.00,450000
hdmi to hdmi cables,1000000,0.66,1,10.25,6.74,450000
blu ray players,823000,0.63,1,65.39,41.39,450000
bluray players,823000,0.23,1,15.41,3.54,450000
lcd and hd,823000,0.00,0,0,0.00,246000
watch mens watch,823000,0.00,0,0,0.00,450000
hard disk drives external,823000,0.00,0,0,0.00,368000
cannon and camera,823000,0.00,0,0,0.00,246000
used it books,823000,0.00,0,0,0.00,550000
tv samsung led,823000,0.00,0,0,0.00,135000
led tv by samsung,823000,0.00,0,0,0.00,135000
printer ink for,823000,0.00,0,0,0.00,368000
printer with ink,823000,0.00,0,0,0.00,368000
printer and ink,823000,0.00,0,0,0.00,368000
dresses for kids,823000,0.82,1,15.03,12.30,450000
notebook samsung,823000,0.00,0,0,0.00,60500
powershot sx,823000,0.00,0,0,0.00,135000
wedding shoes shoes,823000,0.00,0,0,0.00,368000
the best laptops,823000,1.53,1,15.09,23.13,450000
shoes wedding,823000,9.30,1,11.02,102.43,368000
dresses maxi,823000,0.00,0,0,0.00,246000
laptop battery for,823000,0.00,0,0,0.00,368000
detector metal metal detector,823000,0.00,0,0,0.00,368000
phone pay as,823000,0.00,0,0,0.00,450000
watches for mens,823000,0.50,1,20.35,10.27,450000
kinect on xbox 360,673000,0.00,0,0,0.00,201000
kinect for xbox 360,673000,1.76,1,38.57,68.02,201000
security and camera,823000,0.00,0,0,0.00,450000
camera for security,823000,0.00,0,0,0.00,450000
lcd monitors,673000,0.64,1,42.43,27.27,246000
duvet and duvet covers,823000,0.00,0,0,0.00,368000
jon bon jovi dead,880,0.00,0,0,0.00,260
kardashian christmas card,22200,0.00,0,0,0.00,18100
49ers,1500000,0.50,1,54.24,27.31,1000000
steelers,2740000,0.00,0,0,0.00,2240000
dark knight rises trailer,165000,0.20,1,3.52,0.70,90500
san francisco 49ers,201000,0.50,1,36.34,18.30,165000
ben roethlisberger,246000,0.00,0,0,0.00,201000
pittsburgh steelers,673000,0.52,1,235.34,121.88,550000
snooki,1500000,0.50,1,3.07,1.54,1000000
clippers,2240000,0.50,1,12.23,6.16,1000000
49ers news,27100,0.00,0,0,0.00,27100
lakers,2240000,0.00,0,0,0.00,1500000
james harrison,110000,0.00,0,0,0.00,90500
martial law,135000,0.50,1,5.21,2.62,60500
antonio brown,33100,0.00,0,0,0.00,27100
gpa calculator,550000,0.50,1,34.64,17.44,450000
