Keyword,Global Monthly Searches,Estimated Avg. CPC (GBP),Estimated Ad Position,Estimated Daily Clicks,Estimated Daily Cost (GBP),Local Monthly Searches
secure online back up,2900,0.00,0,0,0.00,1000
agile management software,2900,10.09,1,4.16,41.95,1600
crm for financial,4400,0.00,0,0,0.00,2400
disaster recovery planning for it,40500,0.00,0,0,0.00,18100
tracking a vehicle,135000,0.00,0,0,0.00,49500
applications in the cloud,49500,0.00,0,0,0.00,18100
project management with scrum,8100,0.00,0,0,0.00,2400
servers for businesses,5400,0.00,0,0,0.00,2900
android application developers,9900,0.00,0,0,0.00,3600
android app developers,6600,2.57,1,41.7,106.97,2900
training for indesign,14800,1.15,1,4.71,5.41,4400
teach yourself web development,91,0.00,0,0,0.00,36
web applications developers,2900,0.00,0,0,0.00,880
android application developer,40500,1.15,1,21.19,24.35,9900
android app developer,12100,1.68,1,176.2,296.61,4400
app developer android,12100,0.63,1,2.21,1.39,4400
android developer app,12100,0.00,0,0,0.00,4400
mobile applications developers,8100,0.00,0,0,0.00,2900
design for programmers,40500,0.00,0,0,0.00,14800
cloud computing for dummies,8100,0.00,0,0,0.00,3600
android application development uk,210,0.00,0,0,0.00,-
web design and marketing solutions for business websites,91,0.00,0,0,0.00,28
developers mobile applications,8100,0.00,0,0,0.00,2900
training indesign,14800,0.00,0,0,0.00,4400
apps development,246000,1.53,1,37.75,57.87,90500
computing for dummies,9900,0.00,0,0,0.00,4400
bpp learning management system,140,0.00,0,0,0.00,-
mobile apps developers,1600,1.00,1,3.34,3.34,590
joomla designers,8100,0.00,0,0,0.00,2400
best pay as you go sim card,720,0.00,0,0,0.00,36
locks and locksmithing,18100,0.00,0,0,0.00,9900
development of mobile,201000,0.00,0,0,0.00,60500
android app development software,1000,0.00,0,0,0.00,480
best pay as you go sims,480,0.00,0,0,0.00,0
cheap pay as you go sim,1900,0.00,0,0,0.00,36
app development for android,49500,1.94,1,14.23,27.58,22200
best pay as you go sim,5400,0.00,0,0,0.00,91
android development app,49500,0.58,1,2.35,1.37,22200
android apps development,40500,1.19,1,4.77,5.70,14800
android development apps,40500,0.00,0,0,0.00,14800
team building companies uk,58,0.00,0,0,0.00,-
mobile design and development,6600,0.00,0,0,0.00,1900
pay as you go sim card only,210,0.00,0,0,0.00,12
training for mcse,22200,0.00,0,0,0.00,6600
ink 8560,4400,0.00,0,0,0.00,2400
sim card only pay as you go,210,0.00,0,0,0.00,12
micro stock photo sites,73,0.00,0,0,0.00,36
pay as you go sim offers,5400,0.00,0,0,0.00,28
sim card deals pay as you go,880,0.00,0,0,0.00,12
cheap mobile sim card,480,0.00,0,0,0.00,110
itil v3 foundations certification,5400,0.00,0,0,0.00,1600
make money with stock photography,720,0.00,0,0,0.00,390
uk stock photography,1300,0.00,0,0,0.00,170
options for investment,49500,0.00,0,0,0.00,18100
android developer apps,5400,0.00,0,0,0.00,1600
make money stock photography,720,0.00,0,0,0.00,390
photographers stock,3600,0.00,0,0,0.00,1900
cards games for kids,8100,0.00,0,0,0.00,2900
contracts in a nutshell,320,0.00,0,0,0.00,140
google android application development,1600,0.00,0,0,0.00,480
deal or no deal interactive,880,0.00,0,0,0.00,320
stock photographers,3600,6.68,1,3.73,24.90,1900
computing for idiots,170,0.00,0,0,0.00,28
make money stock photos,1000,0.00,0,0,0.00,480
google android apps development,480,1.43,1,4.5,6.42,170
mobile sim card uk,1000,0.00,0,0,0.00,170
sim card for uk,18100,0.00,0,0,0.00,2900
play no deal or deal,27100,0.00,0,0,0.00,12100
realtime tracking device,1900,0.00,0,0,0.00,1300
small company websites,2400,0.00,0,0,0.00,1600
team building activities uk,320,0.00,0,0,0.00,46
pay as you go sim uk,2900,0.00,0,0,0.00,170
the glaze book,1600,0.00,0,0,0.00,480
training in sql,74000,4.58,1,8.3,38.01,27100
android application development tools,2400,0.00,0,0,0.00,880
uk mobile sim card,1000,0.00,0,0,0.00,170
buy uk sim card,880,1.26,1,5.99,7.58,170
c5650 toner,1900,0.00,0,0,0.00,73
database driven web page,2400,0.00,0,0,0.00,1000
cost of sim card,12100,0.00,0,0,0.00,4400
database driven web,5400,0.00,0,0,0.00,1900
microsoft access 2010 training,1000,1.50,1,8.54,12.83,590
3g broadband router,6600,0.00,0,0,0.00,1300
sim card in uk,18100,0.00,0,0,0.00,2900
cheap ink cartridges brother,590,0.00,0,0,0.00,320
google android app development,590,0.00,0,0,0.00,260
stock photography books,590,0.00,0,0,0.00,260
google android app developer,390,0.00,0,0,0.00,170
pre pay sim,5400,0.00,0,0,0.00,1600
pre pay sim card,2400,0.00,0,0,0.00,1300
international mobile broadband pay as you go,46,0.00,0,0,0.00,0
learning sql server 2008,1900,0.00,0,0,0.00,390
cheap ink for brother printer,390,0.00,0,0,0.00,170
buy pay as you go sim card,390,0.00,0,0,0.00,58
pay as you go sim card,22200,0.00,0,0,0.00,2900
pay as go sim,90500,0.00,0,0,0.00,5400
solar power and home,110000,0.00,0,0,0.00,60500
developing mobile application,8100,2.60,1,8.3,21.57,2400
sim card pay,33100,0.00,0,0,0.00,4400
solar for your home,27100,0.00,0,0,0.00,14800
notebook laptops,11100000,0.00,0,0,0.00,1830000
notebooks and laptops,9140000,0.00,0,0,0.00,1830000
notebooks & laptops,9140000,0.00,0,0,0.00,1830000
notebooks and laptop,7480000,0.00,0,0,0.00,2240000
mobile phones mobile phone,7480000,0.00,0,0,0.00,2740000
laptop or notebook,7480000,0.00,0,0,0.00,1830000
laptop and notebook,7480000,0.00,0,0,0.00,1830000
is a notebook a laptop,7480000,0.00,0,0,0.00,1830000
tv or lcd,6120000,0.00,0,0,0.00,1220000
dress prom dress,4090000,0.00,0,0,0.00,2740000
digital cameras digital cameras,4090000,0.00,0,0,0.00,1220000
dress prom dresses,3350000,0.00,0,0,0.00,2240000
digital camera digital cameras,3350000,0.00,0,0,0.00,1220000
and the wardrobe,3350000,0.00,0,0,0.00,1000000
dual sim dual,3350000,0.00,0,0,0.00,60500
canon powershot,2240000,0.37,1,217.16,80.84,673000
canon canon powershot,2240000,0.00,0,0,0.00,673000
of the vanities,2240000,0.00,0,0,0.00,1500000
lumix by panasonic,2240000,0.00,0,0,0.00,368000
camera with camcorder,1830000,0.00,0,0,0.00,673000
best phones,1830000,0.65,1,30.48,19.91,823000
kinect for xbox,1500000,0.19,1,1.85,0.36,550000
canon canon camera,1830000,0.00,0,0,0.00,673000
g shock g,1830000,0.00,0,0,0.00,550000
canon pixma,1830000,1.06,1,226.35,239.83,246000
panasonic dmc,1830000,0.49,1,25.66,12.66,246000
tv 32 in,1830000,0.27,1,11.56,3.15,301000
coolpix nikon,1830000,0.00,0,0,0.00,450000
nikon coolpix,1830000,0.66,1,314.98,208.93,450000
lumix dmc,1500000,0.91,1,4,3.64,201000
ixus i,1500000,0.00,0,0,0.00,40500
ink for cartridges,1500000,0.00,0,0,0.00,673000
ink cartridges for,1500000,0.00,0,0,0.00,673000
ink cartridges,1500000,3.44,1,765.97,"2,633.51",673000
hidden object,1500000,0.67,1,358.35,239.95,450000
cartridge and ink,1500000,0.00,0,0,0.00,673000
ink for cartridge,1500000,0.00,0,0,0.00,673000
ink & cartridge,1500000,0.00,0,0,0.00,673000
dr martens,1220000,0.45,1,751.12,339.97,368000
camcorders with camera,1220000,0.00,0,0,0.00,673000
camera and camcorders,1220000,0.00,0,0,0.00,673000
ink for print,1220000,0.00,0,0,0.00,673000
and mens clothing,1220000,0.00,0,0,0.00,673000
samsung phones,1220000,0.83,1,2686.96,"2,217.74",301000
fujifilm finepix,1220000,0.45,1,29.29,13.26,165000
finepix fujifilm,1220000,0.00,0,0,0.00,165000
canon with lens,1220000,0.00,0,0,0.00,550000
canon lens lens,1220000,0.00,0,0,0.00,550000
hdmi cable hdmi,1220000,0.00,0,0,0.00,550000
a movie camera,1220000,0.00,0,0,0.00,450000
the movie camera,1220000,0.00,0,0,0.00,450000
toner and cartridges,1220000,0.00,0,0,0.00,550000
razors shavers,1220000,0.00,0,0,0.00,550000
the canon 5d,1220000,0.00,0,0,0.00,301000
shavers razors,1220000,0.00,0,0,0.00,550000
canon 5d,1220000,0.83,1,175.03,145.59,301000
dmc panasonic lumix,1220000,0.00,0,0,0.00,165000
the nikon d90,1000000,0.00,0,0,0.00,165000
clothing for cheap,1220000,1.95,1,65.54,127.64,673000
i station docking station,1000000,0.00,0,0,0.00,368000
pc notebook,1000000,2.72,1,57.83,157.10,246000
a wrinkle in,1000000,0.00,0,0,0.00,550000
ink cartridges toner cartridges,1000000,0.00,0,0,0.00,450000
canon is cameras,1220000,0.00,0,0,0.00,450000
canon cameras,1220000,4.14,1,490.97,"2,033.90",450000
photos stock,1000000,4.61,1,100.39,463.28,368000
nikon camera,1000000,1.18,1,560.19,659.97,368000
phones and prices,1000000,0.00,0,0,0.00,60500
dvd to dvd recorder,1000000,1.45,1,5.76,8.35,246000
toner print cartridge,1000000,0.00,0,0,0.00,450000
hdmi to hdmi cables,1000000,0.39,1,4.03,1.56,450000
