insurance,55600000,4.19,1,13239.93,"55,507.10",24900000
insurance medical temporary,1900,0.00,0,0,0.00,1300
fortis health insurance temporary,140,0.00,0,0,0.00,91
life insurance quotes,165000,8.78,1.02,1038.14,"9,114.95",110000
auto insurance quotes,201000,11.73,1,5969.13,"69,988.51",135000
auto century insurance,9900,0.00,0,0,0.00,9900
critical illness insurance life,4400,0.00,0,0,0.00,720
cheap insurance life term,8100,0.99,1,12.45,12.30,5400
cheap life insurance,33100,23.33,1,261.14,"6,093.12",18100
health insurance temporary,12100,0.00,0,0,0.00,9900
21st century insurance,110000,18.07,1,330.26,"5,966.82",110000
cheap insurance medical,12100,5.84,1,65.11,380.55,8100
low cost term life insurance,1600,38.46,1,13.62,523.89,1000
life insurance quote,165000,10.32,1,928.32,"9,575.97",110000
life insurance quote online,18100,5.74,1,23.84,136.81,9900
direct home insurance line,27100,0.00,0,0,0.00,140
term insurance,673000,9.00,1,329.41,"2,966.21",368000
auto insurances,4400,8.63,1,22.14,191.01,1900
